=== SunSang24 Bot Log Started: 2026-01-31_17:59:43 ===
항구: 구매항
선사: 악바리호2
예약날짜: 2026-09-09
예약시간: 18:00:00
예약자: 오동균
전화번호: 010-5961-6149
------------------------------

[17:59:43.06] 🚗 크롬 드라이버를 설정하고 있습니다...
[17:59:44.34] 📝 Chrome PID 저장됨: [10284, 10136, 18232, 25564, 25816, 16788, 9368]
[17:59:44.37] 📍 창 위치 설정: (1280, 0)
[17:59:44.40] 📐 창 크기 설정: 1280 x 1440
[17:59:44.40] 🎯 Target URL: https://akbari.sunsang24.com/mypage/reservation_ready/1613285 (ID: 1613285, 9월 9일)
[17:59:44.40] 🌍 페이지 사전 로드 중: https://akbari.sunsang24.com/mypage/reservation_ready/1613285
[17:59:45.26] 🔔 사전 로드 시 알림 발생: 잘못된 접근입니다.[배일정이 존재하지 않습니다.]
[17:59:45.27] ✅ 알림 확인 (오픈 시간 대기)
[17:59:45.27] ✅ 사전 로드 완료. 오픈 시간을 기다립니다...
[17:59:45.27] ⏰ 실행 예약 시간: 18:00:00...
[17:59:45.27] ⏰ 목표 시간 대기 중: 2026-01-31 18:00:00 (현재 시간 기준)
[18:00:00.00] 🚀 예약 오픈 시간입니다! 작업을 시작합니다!
[18:00:00.00] 🔥 예약 시도 시작 (반복 루프): https://akbari.sunsang24.com/mypage/reservation_ready/1613285
[18:00:00.24] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (1/5000)
[18:00:00.63] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (2/5000)
[18:00:01.02] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (3/5000)
[18:00:01.51] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (4/5000)
[18:00:02.09] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (5/5000)
[18:00:02.74] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (6/5000)
[18:00:03.26] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (7/5000)
[18:00:03.70] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (8/5000)
[18:00:04.07] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (9/5000)
[18:00:04.43] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (10/5000)
[18:00:04.79] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (11/5000)
[18:00:05.18] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (12/5000)
[18:00:05.57] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (13/5000)
[18:00:05.96] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (14/5000)
[18:00:06.34] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (15/5000)
[18:00:06.69] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (16/5000)
[18:00:07.05] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (17/5000)
[18:00:07.44] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (18/5000)
[18:00:07.77] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (19/5000)
[18:00:08.13] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (20/5000)
[18:00:08.48] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (21/5000)
[18:00:08.86] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (22/5000)
[18:00:09.24] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (23/5000)
[18:00:09.61] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (24/5000)
[18:00:09.96] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (25/5000)
[18:00:10.33] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (26/5000)
[18:00:10.69] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (27/5000)
[18:00:11.06] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (28/5000)
[18:00:11.41] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (29/5000)
[18:00:11.78] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (30/5000)
[18:00:12.16] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (31/5000)
[18:00:12.51] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (32/5000)
[18:00:12.87] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (33/5000)
[18:00:13.20] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (34/5000)
[18:00:13.57] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (35/5000)
[18:00:13.93] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (36/5000)
[18:00:14.28] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (37/5000)
[18:00:14.64] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (38/5000)
[18:00:14.98] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (39/5000)
[18:00:15.35] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (40/5000)
[18:00:15.71] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (41/5000)
[18:00:16.07] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (42/5000)
